network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
ES,NET_ES216A,CCAA País Vasco,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_48902006_9_49,ES.BDCA.AQD,-2.9772400000000006,43.30268000000001,EPSG:4979,ES0110A,STA_ES0110A,ERANDIO,ES.BDCA.AQD,2021-12-04 13:00:00+01:00,2021-12-04 14:00:00+01:00,2021-12-04 15:57:13+01:00,2021-12-04 17:05:05+01:00,7,1,3,4,ug/m3
ES,NET_ES210A,CCAA Com. Valenciana,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_46250030_9_46,ES.BDCA.AQD,-0.37583333,39.45611111,EPSG:4979,ES1239A,STA_ES1239A,VALÈNCIA-PISTA DE SILLA,ES.BDCA.AQD,2021-12-04 12:00:00+01:00,2021-12-04 13:00:00+01:00,2021-12-04 15:35:20+01:00,2021-12-04 15:57:12+01:00,2,1,3,11,ug/m3
ES,NET_ES216A,CCAA País Vasco,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_48902006_9_49,ES.BDCA.AQD,-2.9772400000000006,43.30268000000001,EPSG:4979,ES0110A,STA_ES0110A,ERANDIO,ES.BDCA.AQD,2021-12-04 12:00:00+01:00,2021-12-04 13:00:00+01:00,2021-12-04 15:35:21+01:00,2021-12-04 16:43:03+01:00,5,1,3,4,ug/m3
ES,NET_ES212A,CCAA Galicia,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_15032001_9_46,ES.BDCA.AQD,-8.0331,43.1407,EPSG:4979,ES2102A,STA_ES2102A,TEIXEIRO,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:20:56+01:00,2021-12-04 16:43:35+01:00,4.1,1,3,498,ug/m3
ES,NET_ES201A,CCAA Andalucía,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_11008009_9_49,ES.BDCA.AQD,-5.663500000000001,36.23386,EPSG:4979,ES1648A,STA_ES1648A,E2: ALCORNOCALES,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:21:04+01:00,2021-12-06 12:00:14+01:00,,-1,3,189,ug/m3
ES,NET_ES212A,CCAA Galicia,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_15055003_9_49,ES.BDCA.AQD,-8.150200000000002,43.5197,EPSG:4979,ES2039A,STA_ES2039A,XUBIA (MEGASA),ES.BDCA.AQD,2021-12-04 13:00:00+01:00,2021-12-04 14:00:00+01:00,2021-12-04 15:57:09+01:00,2021-12-04 17:04:54+01:00,12,1,3,20,ug/m3
ES,NET_ES212A,CCAA Galicia,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_15070006_9_47,ES.BDCA.AQD,-7.988599999999999,43.4054,EPSG:4979,ES0094A,STA_ES0094A,FRAGA REDONDA (F-2),ES.BDCA.AQD,2021-12-05 17:00:00+01:00,2021-12-05 18:00:00+01:00,2021-12-05 17:52:38+01:00,2021-12-05 18:59:31+01:00,5,1,3,478,ug/m3
ES,NET_ES210A,CCAA Com. Valenciana,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_46256001_9_46,ES.BDCA.AQD,-0.62555555,39.56472221999999,EPSG:4979,ES2019A,STA_ES2019A,VILAMARXANT,ES.BDCA.AQD,2021-12-05 17:00:00+01:00,2021-12-05 18:00:00+01:00,2021-12-05 17:53:06+01:00,2021-12-06 11:59:13+01:00,,-1,3,510,ug/m3
ES,NET_ES203A,CCAA Asturias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_33066004_9_49,ES.BDCA.AQD,-5.8027999999999995,43.401499999999984,EPSG:4979,ES2051A,STA_ES2051A,LUGONES INSTITUTO,ES.BDCA.AQD,2021-12-05 17:00:00+01:00,2021-12-05 18:00:00+01:00,2021-12-05 17:53:10+01:00,2021-12-05 19:56:32+01:00,5,1,3,170,ug/m3
ES,NET_ES212A,CCAA Galicia,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_15030001_9_49,ES.BDCA.AQD,-8.420599,43.36709999999999,EPSG:4979,ES1138A,STA_ES1138A,CORLAB 1,ES.BDCA.AQD,2021-12-05 17:00:00+01:00,2021-12-05 18:00:00+01:00,2021-12-05 17:53:20+01:00,2021-12-06 11:59:27+01:00,,-1,3,35,ug/m3
ES,NET_ES212A,CCAA Galicia,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_32054004_9_49,ES.BDCA.AQD,-7.8779,42.352999999999994,EPSG:4979,ES1096A,STA_ES1096A,GOMEZ FRANQUEIRA,ES.BDCA.AQD,2021-12-05 17:00:00+01:00,2021-12-05 18:00:00+01:00,2021-12-05 17:53:21+01:00,2021-12-05 19:00:48+01:00,6.5,1,3,132,ug/m3
ES,NET_ES212A,CCAA Galicia,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_36057021_9_47,ES.BDCA.AQD,-8.73694,42.21028,EPSG:4979,ES1440A,STA_ES1440A,ESTACION 1 (ESTE),ES.BDCA.AQD,2021-12-05 17:00:00+01:00,2021-12-05 18:00:00+01:00,2021-12-05 17:53:24+01:00,2021-12-05 19:00:56+01:00,6.5,1,3,12,ug/m3
ES,NET_ES205A,CCAA Islas Canarias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_38038024_9_49,ES.BDCA.AQD,-16.27675,28.455374999999993,EPSG:4979,ES2003A,STA_ES2003A,TENA ARTIGAS-STA CRUZ DE TENERIFE,ES.BDCA.AQD,2021-12-04 21:00:00+01:00,2021-12-04 22:00:00+01:00,2021-12-04 21:49:59+01:00,2021-12-04 22:44:31+01:00,13,1,3,169,ug/m3
ES,NET_ES205A,CCAA Islas Canarias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_38038027_9_49,ES.BDCA.AQD,-16.270206,28.459313999999996,EPSG:4979,ES2038A,STA_ES2038A,TIO PINO-STA CRUZ DE TENERIFE,ES.BDCA.AQD,2021-12-04 12:00:00+01:00,2021-12-04 13:00:00+01:00,2021-12-04 15:35:17+01:00,2021-12-06 11:59:16+01:00,,-1,3,104,ug/m3
ES,NET_ES210A,CCAA Com. Valenciana,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_46258001_9_46,ES.BDCA.AQD,-0.83194444,39.70805555,EPSG:4979,ES1671A,STA_ES1671A,VILLAR DEL ARZOBISPO,ES.BDCA.AQD,2021-12-04 21:00:00+01:00,2021-12-04 22:00:00+01:00,2021-12-04 21:53:49+01:00,2021-12-04 22:46:45+01:00,1,1,3,430,ug/m3
ES,NET_ES205A,CCAA Islas Canarias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_38005001_9_46,ES.BDCA.AQD,-16.471625,28.111373000000004,EPSG:4979,ES1769A,STA_ES1769A,SAN MIGUEL DE TAJAO,ES.BDCA.AQD,2021-12-04 21:00:00+01:00,2021-12-04 22:00:00+01:00,2021-12-04 21:54:25+01:00,2021-12-04 22:48:03+01:00,13,1,3,30,ug/m3
ES,NET_ES216A,CCAA País Vasco,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_48027001_9_49,ES.BDCA.AQD,-2.63794,43.168319999999994,EPSG:4979,ES1490A,STA_ES1490A,DURANGO,ES.BDCA.AQD,2021-12-05 12:00:00+01:00,2021-12-05 13:00:00+01:00,2021-12-05 12:45:35+01:00,2021-12-05 14:51:32+01:00,2,1,3,113,ug/m3
